MonoMass	MinElutionTime	MaxElutionTime	CV50_H3_C1_Abundance	CV50_H3_C2_Abundance	CV50_H3_C3_Abundance	CV50_H3_C4_Abundance	CV50_H3_C5_Abundance	CV50_H4_A1_Abundance	CV50_H4_A2_Abundance	CV50_H4_A3_Abundance	CV50_H4_A4_Abundance	CV50_H3_C1_Ms1Score	CV50_H3_C2_Ms1Score	CV50_H3_C3_Ms1Score	CV50_H3_C4_Ms1Score	CV50_H3_C5_Ms1Score	CV50_H4_A1_Ms1Score	CV50_H4_A2_Ms1Score	CV50_H4_A3_Ms1Score	CV50_H4_A4_Ms1Score	CV50_H3_C1_FeatureId	CV50_H3_C2_FeatureId	CV50_H3_C3_FeatureId	CV50_H3_C4_FeatureId	CV50_H3_C5_FeatureId	CV50_H4_A1_FeatureId	CV50_H4_A2_FeatureId	CV50_H4_A3_FeatureId	CV50_H4_A4_FeatureId
5294.6358	12.461	14.126	42386.81	25571.31	27659.8	33575.75	32991.62	8347.172	58233.53	137518.7	66637.79	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	14.2404	16.886	25.6494	0	0	0	0	0	0	1474	1322	1281
5295.63805	12.502	14.929	66645.47	49856.29	60581.44	127985.1	100910.2	2408.35	62389.95	169670.9	79226.54	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	2.7848	40.6856	54.988	42.7742	0	0	0	0	0	975	1475	1323	1282
5296.617	12.754	15.072	50122.93	46125.71	56641.26	123385	95960.03	12776.53	54168.24	100579.2	96699.97	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	21.2652	-3.402823E+38	0	0	0	0	0	0	0	1324	0
5297.73601	64.003	65.308	810223.6	110093.8	14090.42	82803.82	80903.85	21052.06	140727.4	33053.58	143963.5	18.1614	9.4341	-1859.471	-1241.175	-3.402823E+38	-3.402823E+38	-3.402823E+38	-1242.77	-3.402823E+38	1409	1405	0	0	0	0	0	0	0
5298.73618	64.296	65.246	1.022623E+06	143182	21869.92	110848.7	49174.69	17633.63	29856.09	41774.47	14654.38	57.1926	41.1193	-1854.049	37.9138	18.7584	-3.402823E+38	-1240.567	-1227.198	-1852.859	1410	1406	0	1473	1352	0	0	0	0
5299.7391	64.142	65.364	899499.4	118081.3	87760.21	78938.5	51447.25	16760.06	28690.46	112814.3	126120.2	24.641	1.3783	-3.402823E+38	12.462	12.2901	-3.402823E+38	-1238.946	-3.402823E+38	-3.402823E+38	1411	1407	0	1474	1353	0	0	0	0
5308.803	74.735	77.498	611026.3	237973.9	106439	55582.73	17214.01	49220.26	77418.77	91700.37	103029.7	28.2355	22.58384	-3.402823E+38	18.9598	17.8793	-3.402823E+38	-3.402823E+38	4.4765	-3.402823E+38	1412	0	0	1475	1354	0	0	1325	0
5309.8057	74.746	77.079	731338.1	353913.7	106439	91365.03	34884.39	49220.26	77418.77	256325.8	23310.14	81.4945	28.0344	-3.402823E+38	77.8105	40.0601	-3.402823E+38	-3.402823E+38	75.1578	13.66169	1413	1408	0	1476	1355	0	0	1326	0
5310.80498	74.735	77.498	673418.5	317319.7	106439	45224.08	17943.09	49220.26	77418.77	238396.6	103029.7	50.5162	41.73246	-3.402823E+38	38.3977	20.9516	-3.402823E+38	-3.402823E+38	46.9161	-3.402823E+38	1414	0	0	1477	0	0	0	1327	0
5310.90208	71.444	72.735	109985.8	99654.67	68127.7	46674.23	34667	9129.487	47572.06	45269.35	39853.7	2.6342	-1224.476	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	1415	0	0	0	0	0	0	0	0
5311.90038	71.298	72.593	165790.9	103361.5	39109.74	46037.41	35757.99	104971.2	43750.97	65598.06	46236.98	34.1001	-1211.065	31.7338	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	1416	0	1303	0	0	0	0	0	0
5314.73248	60.098	61.731	250118.8	114910.4	161413.1	166729.3	179630.9	91829.35	304592.4	189209.2	214602.6	-1215.317	26.3764	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	0	1409	0	0	0	0	0	0	0
